loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3680,Kepler-991,Kepler-991 b,1,82.53425190,,19h48m21.76s,297.090655,+49d37m35.7s,49.626572,370.00,4392.00,0.64,0.61,,2.540,2016,0,
3681,Kepler-992,Kepler-992 b,1,20.16034462,,18h57m43.27s,284.430280,+47d38m30.4s,47.641785,268.00,4944.00,0.80,0.74,,1.620,2016,0,
3682,Kepler-993,Kepler-993 b,1,22.08557563,,19h30m27.38s,292.614101,+44d23m40.8s,44.394661,298.00,3843.00,0.57,0.54,,2.970,2016,0,
3683,Kepler-994,Kepler-994 b,1,1.15116651,,19h16m17.33s,289.072225,+47d24m25.5s,47.407070,170.00,3934.00,0.56,0.54,,1.600,2016,0,
3684,Kepler-995,Kepler-995 b,1,28.26731672,,18h58m27.77s,284.615727,+39d07m51.7s,39.131038,659.00,5206.00,0.83,0.80,,2.700,2016,0,
3685,Kepler-996,Kepler-996 b,1,3.77059058,,19h27m39.07s,291.912789,+41d32m01.0s,41.533611,1098.00,6014.00,1.09,1.14,,1.980,2016,0,
3686,Kepler-997,Kepler-997 b,1,2.70730672,,19h16m56.01s,289.233369,+49d56m20.2s,49.938934,470.00,6150.00,1.22,1.56,,1.360,2016,0,
3687,Kepler-998,Kepler-998 b,1,5.65377733,,19h47m01.00s,296.754151,+49d12m31.5s,49.208744,996.00,6058.00,1.12,1.18,,2.320,2016,0,
3688,Kepler-999,Kepler-999 b,1,5.99185702,,19h58m38.51s,299.660466,+46d11m54.3s,46.198418,568.00,6237.00,1.29,1.65,,2.340,2016,0,
3689,L 98-59,L 98-59 b,3,2.25314000,0.100000,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,3367.00,0.31,0.31,,0.800,2019,0,-1.947
3690,L 98-59,L 98-59 c,3,3.69062100,0.090000,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,3367.00,0.31,0.31,,1.350,2019,0,-1.947
